X Year;Alfabetizzazione in Intelligenza Artificialen;Training Course;Sapienza Università di Roma;Rome;Italy;May 2026;5-May-26;30-Jun-26;AMM;https://tlc-s.web.uniroma1.it/it/dialoghi-produttivi-con-lia-esercizi-di-prompt-design;0
X Year;High-Performance Computing: a Gateway to Next-Gen Research;Training Course;Consiglio Nazionale delle Ricerche;Rome;Italy;May 2026;12-May-26;10-July-26;M. Pardo;https://sites.google.com/view/webs5-hpc;0
X Year;Summer School on Homotopy Colimits;School;University of Regina;Regina;Canada;June 2026;22-Jun-26;26-Jun-26;J. Berner et al.;https://sites.google.com/view/reginahomotopy;0
X Year;Field theory and higher geometric structures;Workshop;KU Leuven;Leuven;Belgium;June 2026;29-Jun-26;2-Jul-26;M. Zambon et al.;https://wis.kuleuven.be/events/2026_poisson/workshop_field_theory;1
