Period;Event_Title;Type;Organization;Location;Country;Approx_Date;Start_Date;End_Date;Organizers_Speakers;Url;TBC
III Year;XXII Summer Diffiety School;School;Diffiety Institute association and Levi-Civita association;Lizzano in Belvedere;Italy;July 2019;20-jul-19;28-jul-19;A. M. Vinogradov, L. Vitagliano;https://sites.google.com/site/levicivitainstitute/Activities/DiffietySchools/xxii-summer-diffiety-school;0
III Year;Summer School in Algebra and Topology;School;UCLouvain;Louvain la Neuve;Belgium;September 2019;11-sep-19;14-sep-19;Silvana Bazzoni, Marino Gran, Sandra Mantovani, Jorge Picado;https://web.archive.org/save/https://uclouvain.be/en/research-institutes/irmp/summer-school-in-algebra-and-topology-2019.html;0
III Year;Functional Programming and Domain-Specific Languages;Industry Course;KU Leuven;Leuven;Belgium;October 2019;21-Oct-19;22-Oct-19;Tom Schrijvers;https://dtai.cs.kuleuven.be/events/fpcourse/;0
IV Year;Junior Seminar in Pure Mathematics;Seminars;KU Leuven;Leuven;Belgium;December 2019;9-dec-19;9-dedc-19;Corinne Bedussa, Jonas Dere', Leyli Mammadova, Mateusz Wasilewski;https://wis.kuleuven.be/methusalem-pure-math/junior-seminar-in-pure-mathematics;0
IV Year;Supergeometry, supersymmetry and quantization;Conference;University of Luxembourg;Luxembourg;Luxembourg;December 2019;16-Dec-19;19-Dec-19;Andrew Bruce;http://math.uni.lu/SuperWork/SuperConference.html;0
IV Year;MultiSymplectic manifolds and homotopy co-momentum maps;Poster;University of Luxembourg;Luxembourg;Luxembourg;December 2019;18-Dec-19;18-Dec-19;A.M. Miti;https://www.researchgate.net/publication/338019063_Multisymplectic_manifolds_and_Homotopy_co-momentum_maps;0
IV Year;Higher Spin Gauge Theories, Topological Field Theory and Deformation Quantization;Workshop;ULB;Bruxelles;Belgium;February 2020;17-feb-20;21-feb-20;Barnich, Bieliavsky, Zambon;http://www.solvayinstitutes.be/event/workshop/higher_spin_2020/higher_spin_2020.html;0
IV Year;Gauge transformations of multisymplectic manifolds and $L_\infty$ observables;Contributed Talk;KU Leuven;Leuven;Belgium;May 2020;5-May-20;5-May-20;A.M. Miti;https://www.researchgate.net/publication/344044689_Gauge_transformations_of_multisymplectic_manifolds_and_L_infinity_observables;0
IV Year;Workshop on Multisymplectic Geometry;Workshop;KU Leuven;Leuven;Belgium;September 2020;10-Sep-20;11-Sep-20;Mammadova,Miti,Wurzbacher,Zambon;https://wis.kuleuven.be/events/archive/multisymplectic;0
IV Year;Homotopy co-moment maps for compact actions on spheres;Contributed Talk;KU Leuven;Leuven;Belgium;September 2020;10-sep-20;10-sep-20;AMM;https://www.researchgate.net/publication/344220375_Homotopy_co-moment_maps_for_compact_actions_on_spheres;0
V Year;What is... Geometric Mechanics?;Contributed Talk;KU Leuven;Leuven;Belgium;April 2021;28-apr-21;28-apr-21;AMM;https://wis.kuleuven.be/agenda/PhdColloquia/ay20-21/copy4_of_PhD-coll-Molag;0
V Year;Gauge transformations of multisymplectic manifolds and L-infinity observables;Contributed Talk;EIMI;Online;-;July 2021;13-jul-21;13-jul-21;AMM;https://www.researchgate.net/publication/353463068_Gauge_transformations_of_multisymplectic_manifolds_and_L_observables;0
V Year;Young Researchers' Virtual Multisymplectic Geometry Conference;Workshop;EIMI;Online;-;July 2021;13-jul-21;13-jul-21;Casey Blacker;https://public.eimi.ru/~cblacker/yrvmgc_21.html;0
V Year;Gauge transformations of multisymplectic manifolds and L-infinity observables;Contributed Talk;MPIM;Bonn;Germany;December 2021;15-dec-21;15-dec-21;AMM;https://www.dropbox.com/s/x267gvrge9xghq1/2112-Bonn-HigherSeminar.pdf?dl=0;0
VI Year;Qualification Maître de conférences 25 - Mathématiques;Other;Galaxie;-;France;February 2022;08-02-2022;08-02-2022;.;https://www.galaxie.enseignementsup-recherche.gouv.fr/ensup/cand_qualification_droit_commun.htm;0
VI Year;Toposes as Bridges - a short course;Ph.D. Course;Warwick University;Online;-;February 2022;18-2-2022;4-3-2022;L. Laffourge;https://warwick.ac.uk/fac/sci/maths/research/events/events2021-22/toposesasbridges/;0
VI Year;Reading Seminar on Differentiable Stacks;Reading Course;MPIM;Bonn;Germany;March 2022;23-2-2022;30-3-2022;C. Blohman, A. Tarnowsky;https://www.dropbox.com/s/a9tmw4g8m58ymkf/2203-Bonn-StackReadingSeminar.pdf?dl=0;0
VI Year;Morphisms and Yoneda lemma for stacks;Contributed Talk;MPIM;Bonn;Germany;March 2022;02-3-2022;02-3-2022;AMM;https://www.dropbox.com/s/rfu7cw1plq0wpzb/2203-Bonn-StackMorphisms.pdf?dl=0;0
VI Year;Symmetries and reduction of multisymplectic manifolds;Contributed Talk;MPIM;Bonn;Germany;April 2022;07-4-2022;07-4-2022;AMM;https://www.mpim-bonn.mpg.de/node/11285;0
VI Year;Twinned Conference on Homotopy Theory with Applications to Arithmetic and Geometry;Conference;MPIM;Bonn;Germany;June 2022;27-6-2022;30-6-2022;T. Barthel et al;https://www.mpim-bonn.mpg.de/node/10868;0
VI Year;School on Univalent Mathematics;School;SMI;Cortona;Italy;July 2022;17-7-2022;23-7-2022;B. Ahrens, M. Maggesi;https://unimath.github.io/cortona2022/;1
